source_year,trip_distance,total_amount
2017,4.2,18.8
2017,1.82,9.3
2017,0.73,6.3
2017,1.0,9.95
2017,1.75,9.8
2017,1.79,12.36
2017,0.35,5.16
2017,1.62,9.8
2017,1.2,8.75
2017,1.8,9.8
2017,11.5,43.5
2017,2.8,17.25
2017,5.2,17.8
2017,2.5,11.3
2017,4.81,20.76
2017,8.4,28.0
2017,2.82,15.34
2017,18.8,58.56
2017,1.2,6.8
2017,2.1,12.85
2017,1.5,9.3
2017,1.1,8.15
2017,3.4,16.55
2017,4.11,17.16
2017,1.7,11.76
2017,9.6,34.55
2017,9.7,35.3
2017,1.07,9.0
2017,1.8,9.95
2017,0.7,6.3
2017,1.2,11.8
2017,1.1,6.8
2017,5.1,21.8
2017,1.4,9.35
2017,7.4,24.3
2017,10.24,42.88
2017,1.78,10.8
2017,3.47,17.76
2017,0.99,11.25
2017,0.56,7.56
2017,1.4,11.0
2017,1.2,8.3
2017,0.8,7.3
2017,5.0,21.95
2017,1.61,10.0
2017,0.91,7.24
2017,2.67,11.3
2017,3.1,17.76
2017,0.66,7.56
2017,0.8,9.96
2017,4.91,18.8
2017,1.98,11.76
2017,2.34,12.36
2017,2.14,14.76
2017,1.6,11.6
2017,3.3,13.3
2017,1.5,9.35
2017,2.44,10.3
2017,0.94,6.8
2017,1.77,12.3
2017,1.69,9.96
2017,0.78,7.24
2017,2.21,12.96
2017,0.73,7.56
2017,6.7,21.3
2017,0.48,7.56
2017,1.77,8.3
2017,1.13,7.3
2017,2.49,12.96
2017,2.35,13.56
2017,8.1,32.0
2017,1.36,7.8
2017,5.73,27.04
2017,1.82,11.76
2017,1.3,9.35
2017,1.7,10.55
2017,1.67,10.8
2017,0.42,5.3
2017,18.7,58.56
2017,0.84,8.16
2017,0.87,6.3
2017,2.81,16.0
2017,7.8,25.3
2017,3.42,17.16
2017,11.73,47.88
2017,2.31,14.16
2017,0.94,6.8
2017,0.91,7.3
2017,0.78,7.98
2017,1.62,11.76
2017,3.65,14.3
2017,0.5,6.3
2017,0.8,6.8
2017,4.5,23.15
2017,3.0,13.8
2017,0.9,7.8
2017,3.5,17.15
2017,0.87,6.96
2017,3.76,14.3
2017,5.36,20.3
2017,1.4,7.8
2017,1.33,9.96
2017,1.84,9.8
2017,4.42,20.16
2017,1.3,10.8
2017,0.3,5.75
2017,1.0,7.8
2017,7.69,31.56
2017,1.57,9.3
2017,1.84,11.0
2017,5.7,20.8
2017,0.8,7.55
2017,0.3,4.8
2017,1.46,10.56
2017,1.67,11.16
2017,1.2,7.8
2017,0.59,5.3
2017,1.62,10.56
2017,3.16,16.56
2017,0.65,7.88
2017,0.79,6.96
2017,0.74,7.88
2017,1.28,9.36
2017,3.56,18.96
2017,0.6,6.35
2017,4.7,22.55
2017,2.3,10.3
2017,9.29,35.76
2017,5.3,18.3
2017,1.1,8.75
2017,1.0,7.8
2017,2.2,9.8
2017,1.1,8.15
2017,0.3,6.2
2017,1.4,10.35
2017,3.0,15.35
2017,1.9,12.95
2017,1.0,8.3
2017,2.3,12.95
2017,1.6,11.15
2017,0.8,8.15
2017,3.0,15.18
2017,1.4,9.35
2017,1.4,9.8
2017,1.3,7.8
2017,0.91,6.8
2017,1.34,11.16
2017,2.86,14.8
2017,5.1,25.55
2017,0.8,7.85
2017,2.2,14.15
2017,3.9,17.8
2017,1.0,9.36
2017,0.07,4.3
2017,1.57,9.3
2017,0.66,6.96
2017,5.8,23.75
2017,0.77,6.8
2017,2.34,11.76
2017,1.12,6.8
2017,3.08,11.8
2017,1.82,12.09
2017,1.72,11.16
2017,3.48,14.3
2017,4.22,15.3
2017,2.56,14.16
2017,7.9,29.8
2017,2.4,14.75
2017,0.8,7.3
2017,4.19,18.3
2017,0.99,7.24
2017,1.31,7.3
2017,4.44,21.8
2017,4.2,18.96
2017,0.96,10.38
2017,0.75,8.16
2017,3.73,18.96
2017,1.41,8.3
2017,0.65,5.8
2017,10.5,43.56
2017,3.9,18.35
2017,1.2,10.3
2017,1.08,8.76
2017,2.54,12.8
2017,0.79,6.96
2017,1.15,6.8
2017,2.3,11.8
2017,0.7,6.95
2017,1.5,10.3
2017,1.5,8.3
2017,4.9,21.6
2017,0.6,5.8
2017,3.32,17.25
2017,1.2,8.97
2017,5.6,26.75
2017,1.0,8.3
2017,1.5,11.15
2017,5.4,19.8
2017,1.0,8.75
2017,3.1,11.8
2017,1.5,10.55
2017,0.8,6.3
2017,1.0,7.3
2017,1.9,9.8
2017,3.01,14.76
2017,5.01,16.8
2017,0.5,6.35
2017,2.1,12.3
2017,5.5,20.3
