source_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2023,39,2023-W39,1,520104,15925104.73231101,30.619077592771852
2023,39,2023-W39,2,102550,2607835.387782097,25.429891640976077
2023,39,2023-W39,3,3895,41808.98007941246,10.734012857358783
2023,39,2023-W39,4,9043,19631.47004777193,2.1709023606957794
2024,35,2024-W35,0,13308,308140.4301045034,23.15452585696599
2024,35,2024-W35,1,58869,1908854.0771710873,32.42545443562974
2024,35,2024-W35,2,14027,341466.3508411646,24.343505442444187
2024,35,2024-W35,3,812,5743.510010957718,7.073288190834628
2024,35,2024-W35,4,2501,3086.120014190674,1.2339544239067068
2024,36,2024-W36,0,98451,2373624.7896917053,24.10970726241181
2024,36,2024-W36,1,575801,18138987.016093034,31.50218046876097
2024,36,2024-W36,2,101526,2479959.3562128544,24.426839983973114
2024,36,2024-W36,3,5880,45605.240040779114,7.755993204214135
2024,36,2024-W36,4,16515,28893.950075149536,1.7495579821465053
2024,37,2024-W37,0,128251,3058945.520407684,23.851241085119682
2024,37,2024-W37,1,609432,18686760.182165742,30.662584475652316
2024,37,2024-W37,2,105022,2493821.6565520763,23.745707152330716
2024,37,2024-W37,3,5963,46058.950070858,7.724123775089385
2024,37,2024-W37,4,17087,30849.220019578934,1.805420496259082
2024,38,2024-W38,0,125990,2994697.980512658,23.769330744604
2024,38,2024-W38,1,645833,20000247.699240923,30.968141453349276
2024,38,2024-W38,2,107639,2555364.507169366,23.740136076787834
2024,38,2024-W38,3,6098,45753.98005247116,7.503112504504946
2024,38,2024-W38,4,17960,34789.47006547451,1.9370528989685138
2024,39,2024-W39,0,110829,2667733.4307016376,24.070716425318622
2024,39,2024-W39,1,634259,19773797.101109028,31.17621839202759
2024,39,2024-W39,2,102746,2474374.2659418583,24.08243888756602
2024,39,2024-W39,3,5763,47973.8501098156,8.324457766756133
2024,39,2024-W39,4,17686,32360.610077142715,1.8297302995105007
2024,40,2024-W40,0,6902,174045.44007015228,25.216667642734322
2024,40,2024-W40,1,80439,2580193.8564116955,32.07640393853349
2024,40,2024-W40,2,14261,336999.6909356117,23.630859752865277
2024,40,2024-W40,3,821,7392.150042057037,9.003836835635855
2024,40,2024-W40,4,2310,5284.560000419617,2.287688311869964
2098,37,2098-W37,2,1,25.799999237060547,25.799999237060547
