source_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2024,37,2024-W37,0,135687,3247822.490295179,23.93613603584116
2024,37,2024-W37,1,581882,16390679.791911006,28.16839117194037
2024,37,2024-W37,2,105110,3370995.557008028,32.071121273028524
2024,37,2024-W37,3,21415,640995.4297933578,29.93207703914816
2024,37,2024-W37,4,12138,395084.9499709606,32.5494274156336
2024,37,2024-W37,5,5884,169233.09016418457,28.76157208772681
2024,37,2024-W37,6,3635,101221.120074749,27.84625036444264
2024,37,2024-W37,7,1,79.0,79.0
2024,37,2024-W37,9,3,324.0999984741211,108.03333282470703
2024,38,2024-W38,0,133318,3181527.400501052,23.864199886744863
2024,38,2024-W38,1,617056,17599677.788811684,28.52201062595888
2024,38,2024-W38,2,109584,3532511.8679306507,32.235653634934394
2024,38,2024-W38,3,21980,655566.4096698761,29.82558733711902
2024,38,2024-W38,4,12077,390900.30992269516,32.367335424583516
2024,38,2024-W38,5,5676,163451.0901272297,28.79687986737662
2024,38,2024-W38,6,3823,106649.96008014679,27.896929134226205
2024,38,2024-W38,7,1,84.37999725341797,84.37999725341797
2024,38,2024-W38,8,5,484.4300003051758,96.88600006103516
2024,39,2024-W39,0,118030,2854843.620674515,24.187440656396806
2024,39,2024-W39,1,602738,17371467.20018637,28.82092584205139
2024,39,2024-W39,2,107349,3466273.6477457285,32.289761877108575
2024,39,2024-W39,3,21804,643309.4195487499,29.504192787963213
2024,39,2024-W39,4,12126,391275.7095565796,32.26750037576939
2024,39,2024-W39,5,5492,162633.77016615868,29.61284962967201
2024,39,2024-W39,6,3735,105933.87006092072,28.36248194402161
2024,39,2024-W39,7,4,188.54999923706055,47.13749980926514
2024,39,2024-W39,8,4,204.52999877929688,51.13249969482422
2024,39,2024-W39,9,1,108.94000244140625,108.94000244140625
2024,40,2024-W40,0,7804,197215.24005031586,25.271045624079427
2024,40,2024-W40,1,79984,2313010.4977822304,28.91841490525893
2024,40,2024-W40,2,12398,442941.4696061611,35.72684865350549
2024,40,2024-W40,3,2186,70664.08002328873,32.32574566481644
2024,40,2024-W40,4,1230,46236.779923439026,37.590877986535794
2024,40,2024-W40,5,695,21582.190079689026,31.053510906027377
2024,40,2024-W40,6,436,12265.439994812012,28.131743107367
2098,37,2098-W37,5,1,25.799999237060547,25.799999237060547
