source_year,pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
2019,4,5,8863,307596.84652113914,34.70572565961177
2019,4,6,12,1205.7200088500977,100.4766674041748
2019,4,7,3,207.70000648498535,69.23333549499512
2019,4,8,1,81.0,81.0
2019,5,0,38,1290.6899948120117,33.96552617926346
2019,5,1,1,45.20000076293945,45.20000076293945
2019,5,3,3,76.73999881744385,25.579999605814617
2019,5,4,108,2490.61997795105,23.06129609213935
2019,5,5,44340,924787.1238623857,20.856723587333914
2019,5,6,14941,514038.024040699,34.404526071929524
2019,5,7,19,1760.090009689331,92.63631629943848
2019,5,8,1,55.41999816894531,55.41999816894531
2019,5,9,1,62.220001220703125,62.220001220703125
2019,5,13,1,14.300000190734863,14.300000190734863
2019,6,0,60,1958.8599705696106,32.64766617616018
2019,6,1,1,44.18000030517578,44.18000030517578
2019,6,3,1,46.79999923706055,46.79999923706055
2019,6,4,2,25.09999942779541,12.549999713897705
2019,6,5,143,3114.3999700546265,21.77902076961277
2019,6,6,100720,1712360.234692216,17.001193751908417
2019,6,7,33605,966243.7998890281,28.752977232228183
2019,6,8,503,34836.12949848175,69.25671868485438
2019,6,9,12,1161.7799911499023,96.81499926249187
2019,6,10,2,938.9199829101562,469.4599914550781
2019,6,12,1,52.79999923706055,52.79999923706055
2019,6,13,1,63.5,63.5
2019,6,16,1,17.299999237060547,17.299999237060547
2019,7,0,73,2409.8299646377563,33.011369378599404
2019,7,1,1,549.2999877929688,549.2999877929688
2019,7,5,1,44.41999816894531,44.41999816894531
2019,7,6,358,8121.30993938446,22.68522329437
2019,7,7,180222,2828063.954059303,15.69211280564694
2019,7,8,61802,1630433.3146062493,26.381562321708834
2019,7,9,1380,95988.52841281891,69.55690464697022
2019,7,10,29,2361.67995929718,81.43723997576484
2019,7,12,2,64.95999908447266,32.47999954223633
2019,7,14,1,18.959999084472656,18.959999084472656
2019,7,18,1,12.300000190734863,12.300000190734863
2019,8,0,58,2255.2899882793427,38.88431014274729
2019,8,1,1,45.91999816894531,45.91999816894531
2019,8,6,2,104.18999862670898,52.09499931335449
2019,8,7,336,7206.039912223816,21.446547357808974
2019,8,8,215653,3411988.0107011497,15.821657990851737
2019,8,9,74965,2002760.1697838306,26.71593636742254
2019,8,10,1087,76129.49893075228,70.03633756278958
2019,8,11,30,2305.6499519348145,76.85499839782715
2019,8,12,2,171.22000122070312,85.61000061035156
2019,8,13,2,144.4199981689453,72.20999908447266
2019,8,15,1,71.76000213623047,71.76000213623047
2019,8,16,2,274.5599880218506,137.2799940109253
2019,8,20,1,390.29998779296875,390.29998779296875
2019,9,0,68,2410.8599672317505,35.453823047525745
2019,9,7,3,106.87999725341797,35.62666575113932
2019,9,8,213,4988.249940872192,23.4190138069117
2019,9,9,219719,3531660.9193704724,16.0735344661612
2019,9,10,76192,2055496.2292599678,26.977848452068034
2019,9,11,766,54332.349372684956,70.92996001655999
2019,9,12,36,2882.8899812698364,80.08027725749545
2019,9,13,2,189.22000122070312,94.61000061035156
2019,9,14,3,301.69000244140625,100.56333414713542
2019,9,15,1,69.91999816894531,69.91999816894531
2019,9,18,2,124.21999740600586,62.10999870300293
2019,9,19,1,55.79999923706055,55.79999923706055
2019,9,22,1,65.30000305175781,65.30000305175781
2019,10,0,66,2279.629967212677,34.53984798807086
2019,10,7,1,0.0,0.0
2019,10,8,6,207.24999904632568,34.54166650772095
2019,10,9,225,5330.909956932068,23.692933141920303
2019,10,10,224925,3773160.620905459,16.775194491076842
2019,10,11,78190,2116155.127312541,27.06426815849266
2019,10,12,769,55586.75938296318,72.28447253961401
2019,10,13,21,1644.7599935531616,78.32190445491246
2019,10,15,1,265.8399963378906,265.8399963378906
2019,10,16,1,82.69999694824219,82.69999694824219
2019,11,0,81,2348.4299726486206,28.99296262529161
2019,11,1,1,32.7599983215332,32.7599983215332
2019,11,4,2,0.0,0.0
2019,11,8,2,119.62999725341797,59.814998626708984
2019,11,9,2,125.18000411987305,62.59000205993652
2019,11,10,209,5027.2799372673035,24.053970991709587
2019,11,11,232140,3795445.4972088337,16.34981260105468
2019,11,12,86203,2353833.57456553,27.305703682766605
2019,11,13,541,39630.259557545185,73.2537145241131
2019,11,14,26,2023.5799779891968,77.82999915343065
2019,11,15,4,493.7300109863281,123.43250274658203
2019,11,16,3,224.0199966430664,74.67333221435547
2019,11,17,1,170.3000030517578,170.3000030517578
2019,12,0,88,3381.299967765808,38.423863270066
2019,12,9,3,136.419997215271,45.47333240509033
2019,12,10,10,447.41999435424805,44.7419994354248
2019,12,11,224,5277.539939880371,23.560446160180227
2019,12,12,249755,4102364.6168569326,16.425555511829323
2019,12,13,90021,2521236.922095835,28.007208563511128
2019,12,14,473,35895.24968099594,75.88847712684131
2019,12,15,9,731.520001411438,81.28000015682645
2019,12,16,6,632.8599967956543,105.47666613260905
2019,12,17,4,255.5,63.875
2019,13,0,77,2792.2099661827087,36.262467093281934
