pickup_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2024,44,2024-W44,3,27628,820819.1493391991,29.709683992297634
2024,44,2024-W44,4,18103,572145.6098161936,31.60501628548824
2024,44,2024-W44,5,5425,156253.51022028923,28.802490363186955
2024,44,2024-W44,6,3803,104481.47002530098,27.47343413760215
2024,44,2024-W44,8,4,114.58000349998474,28.645000874996185
2024,45,2024-W45,0,68890,1702219.2499066088,24.7092357367776
2024,45,2024-W45,1,594416,16238137.10761084,27.317799500031697
2024,45,2024-W45,2,113111,3509521.876017332,31.027237633981947
2024,45,2024-W45,3,24127,706432.8493676186,29.279763309471488
2024,45,2024-W45,4,14462,449409.81993186474,31.07521919042074
2024,45,2024-W45,5,4921,143637.5502896309,29.188691381757955
2024,45,2024-W45,6,3479,98302.15011072159,28.25586378577798
2024,45,2024-W45,8,4,297.4000015258789,74.35000038146973
2024,45,2024-W45,9,2,130.9799976348877,65.48999881744385
2024,46,2024-W46,0,118020,2868072.4300744776,24.30157964814843
2024,46,2024-W46,1,635332,17768786.037163854,27.967717724219547
2024,46,2024-W46,2,115520,3585552.947082162,31.038373849395445
2024,46,2024-W46,3,23388,682341.3196320534,29.174846914317314
2024,46,2024-W46,4,13751,422993.69955325127,30.76094098998264
2024,46,2024-W46,5,5293,156174.79011392593,29.505911602857726
2024,46,2024-W46,6,3640,103870.78997182846,28.535931310941884
2024,46,2024-W46,7,1,91.80000305175781,91.80000305175781
2024,46,2024-W46,8,1,97.19999694824219,97.19999694824219
2024,47,2024-W47,0,111023,2795010.530644113,25.17505859726465
2024,47,2024-W47,1,644398,17600382.32919705,27.312906509947346
2024,47,2024-W47,2,114875,3521073.90702641,30.651350659642308
2024,47,2024-W47,3,24117,702843.9391007423,29.143091557853065
2024,47,2024-W47,4,14852,459568.1695148945,30.94318405028915
2024,47,2024-W47,5,5149,150611.09021258354,29.250551604696746
2024,47,2024-W47,6,3737,100406.8000087738,26.86829007459829
2024,47,2024-W47,7,2,236.35000610351562,118.17500305175781
2024,47,2024-W47,8,5,536.0299987792969,107.20599975585938
2024,47,2024-W47,9,1,13.300000190734863,13.300000190734863
2024,48,2024-W48,0,61253,1562423.2004138418,25.507700854061707
2024,48,2024-W48,1,462897,12458805.825817585,26.91485541236514
2024,48,2024-W48,2,102283,3179851.1779379845,31.0887554915087
2024,48,2024-W48,3,31066,914567.1287755966,29.439487825133476
2024,48,2024-W48,4,23272,712093.1192388535,30.598707426901576
